DATE,FLIGHT_NUM,WAY,TEAM,NUMBER,START,END
20170620,7,Arrival,ASA,3,8:00:00,8:55:00
20170620,7,Arrival,POLY,2,8:00:00,8:55:00
20170620,7,Arrival,POLY,1,8:00:00,8:55:00
20170620,7,Arrival,RZA,1,8:00:00,8:55:00
20170620,7,Arrival,POLY,1,7:55:00,8:25:00
20170620,1081,Arrival,RZA,1,8:20:00,9:55:00
20170620,1084,Departure,POLY,1,7:05:00,7:20:00
20170620,1084,Departure,RZA,1,6:05:00,7:35:00
20170620,1089,Arrival,POLY,2,8:50:00,10:10:00
20170620,1089,Arrival,RZA,1,8:45:00,10:20:00
20170620,1089,Arrival,ASA,1,8:50:00,10:10:00
20170620,1114,Departure,POLY,1,7:25:00,7:40:00
20170620,1114,Departure,RZA,1,6:25:00,7:55:00
20170620,1123,Arrival,POLY,2,8:40:00,9:50:00
20170620,1123,Arrival,RZA,1,8:35:00,10:00:00
20170620,1123,Arrival,ASA,1,8:40:00,9:50:00
20170620,1125,Arrival,POLY,2,9:00:00,9:45:00
20170620,1125,Arrival,RZA,1,9:00:00,9:45:00
20170620,1125,Arrival,ASA,1,9:00:00,9:35:00
20170620,1126,Departure,POLY,1,7:15:00,7:30:00
20170620,1126,Departure,RZA,1,6:15:00,7:45:00
20170620,1135,Arrival,POLY,2,8:30:00,9:15:00
20170620,1135,Arrival,RZA,1,8:30:00,9:15:00
20170620,1135,Arrival,ASA,1,8:30:00,9:10:00
20170620,1138,Departure,ASA,1,6:20:00,7:25:00
20170620,1138,Departure,POLY,2,6:20:00,7:25:00
20170620,1138,Departure,RZA,1,6:10:00,7:35:00
20170620,1148,Departure,ASA,1,6:35:00,7:40:00
20170620,1148,Departure,POLY,2,6:35:00,7:40:00
20170620,1434,Departure,POLY,2,6:30:00,7:35:00
20170620,1434,Departure,RZA,1,6:20:00,7:45:00
20170620,1449,Arrival,POLY,2,8:00:00,9:25:00
20170620,1449,Arrival,RZA,1,7:55:00,9:35:00
20170620,1449,Arrival,ASA,1,7:55:00,9:25:00
20170620,1463,Arrival,POLY,2,8:40:00,9:55:00
20170620,1463,Arrival,RZA,1,8:35:00,10:05:00
20170620,1463,Arrival,ASA,1,8:35:00,9:55:00
20170620,1464,Departure,POLY,1,9:15:00,9:30:00
20170620,1464,Departure,RZA,1,8:15:00,9:45:00
20170620,1513,Arrival,POLY,1,9:00:00,10:05:00
20170620,1513,Arrival,RZA,1,8:50:00,10:20:00
20170620,1532,Departure,POLY,1,8:25:00,9:45:00
20170620,1542,Departure,POLY,1,7:00:00,7:15:00
20170620,1542,Departure,RZA,1,6:00:00,7:30:00
20170620,1543,Arrival,POLY,1,10:10:00,11:10:00
20170620,1543,Arrival,RZA,1,10:00:00,11:25:00
20170620,1554,Departure,ASA,1,6:35:00,7:40:00
20170620,1554,Departure,POLY,2,6:35:00,7:40:00
20170620,1554,Departure,RZA,1,6:25:00,7:50:00
20170620,1579,Arrival,POLY,1,9:00:00,10:05:00
20170620,1579,Arrival,RZA,1,8:50:00,10:20:00
20170620,1580,Departure,POLY,1,9:00:00,10:15:00
20170620,1611,Arrival,POLY,1,7:35:00,7:50:00
20170620,1611,Arrival,RZA,1,7:35:00,8:20:00
20170620,1620,Departure,ASA,1,9:55:00,11:00:00
20170620,1620,Departure,POLY,2,9:55:00,11:00:00
20170620,1620,Departure,RZA,1,9:45:00,11:10:00
20170620,1653,Arrival,POLY,1,9:00:00,9:15:00
20170620,1653,Arrival,RZA,1,9:00:00,9:45:00
20170620,1665,Arrival,POLY,1,8:25:00,9:40:00
20170620,1665,Arrival,RZA,1,8:15:00,9:55:00
20170620,1668,Departure,POLY,1,7:10:00,7:25:00
20170620,1668,Departure,RZA,1,6:10:00,7:40:00
20170620,1669,Arrival,POLY,1,11:05:00,11:20:00
20170620,1686,Departure,POLY,1,7:00:00,7:15:00
20170620,1686,Departure,RZA,1,6:00:00,7:30:00
20170620,1695,Arrival,POLY,1,8:45:00,9:55:00
20170620,1695,Arrival,RZA,1,8:35:00,10:10:00
20170620,1722,Departure,POLY,1,9:00:00,10:05:00
20170620,1734,Departure,ASA,1,8:55:00,10:00:00
20170620,1734,Departure,POLY,2,8:55:00,10:00:00
20170620,1734,Departure,RZA,1,8:45:00,10:10:00
20170620,1742,Departure,POLY,1,10:10:00,11:10:00
20170620,1750,Departure,POLY,1,7:00:00,7:15:00
20170620,1750,Departure,RZA,1,6:00:00,7:30:00
20170620,1752,Departure,POLY,1,8:50:00,10:05:00
20170620,1812,Departure,POLY,1,8:50:00,9:05:00
20170620,1812,Departure,RZA,1,7:50:00,9:20:00
20170620,1842,Departure,POLY,1,9:00:00,10:05:00
20170620,1845,Arrival,POLY,1,9:00:00,10:15:00
20170620,1845,Arrival,RZA,1,8:50:00,10:30:00
20170620,1854,Departure,POLY,1,8:25:00,9:40:00
20170620,1896,Departure,ASA,1,6:10:00,7:15:00
20170620,1896,Departure,POLY,2,6:10:00,7:15:00
20170620,1896,Departure,RZA,1,6:00:00,7:25:00
20170620,7516,Departure,ASA,1,6:25:00,7:30:00
20170620,7516,Departure,POLY,2,6:25:00,7:30:00
20170620,7516,Departure,RZA,1,6:15:00,7:40:00
20170620,7518,Departure,ASA,1,8:50:00,9:55:00
20170620,7518,Departure,POLY,2,8:50:00,9:55:00
20170620,7518,Departure,RZA,1,8:40:00,10:05:00
20170620,7529,Arrival,POLY,2,8:25:00,9:10:00
20170620,7529,Arrival,RZA,1,8:25:00,9:10:00
20170620,7529,Arrival,ASA,1,8:25:00,9:05:00
20170620,7588,Departure,POLY,1,8:10:00,8:25:00
20170620,7588,Departure,RZA,1,7:10:00,8:40:00
20170620,7621,Arrival,POLY,2,7:25:00,8:40:00
20170620,7621,Arrival,RZA,1,7:20:00,8:50:00
20170620,7621,Arrival,ASA,1,7:25:00,8:40:00
20170620,7622,Departure,ASA,1,9:20:00,10:25:00
20170620,7622,Departure,POLY,2,9:20:00,10:25:00
20170620,7622,Departure,RZA,1,9:10:00,10:35:00
20170620,7651,Arrival,POLY,2,7:25:00,8:40:00
20170620,7651,Arrival,RZA,1,7:20:00,8:50:00
20170620,7651,Arrival,ASA,1,7:25:00,8:40:00
20170620,7652,Departure,ASA,1,9:25:00,10:30:00
20170620,7652,Departure,POLY,2,9:25:00,10:30:00
20170620,7652,Departure,RZA,1,9:15:00,10:40:00
20170620,7660,Departure,POLY,1,7:15:00,7:30:00
20170620,7660,Departure,RZA,1,6:15:00,7:45:00
20170620,7662,Departure,ASA,1,9:00:00,10:05:00
20170620,7662,Departure,POLY,2,9:00:00,10:05:00
20170620,7662,Departure,RZA,1,8:50:00,10:15:00
20170620,7669,Arrival,POLY,1,10:55:00,11:10:00
20170620,7673,Arrival,POLY,2,8:30:00,9:15:00
